limspedon_id,State,County_FIPS,County Name,latitude degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,latitude decimal_degrees,longitude decimal_degrees,horizontal datum,Classification Type: SSL,SSL_taxon_name,SSL_taxon_kind,SSL_taxonomic_classification_name,Classification Type: Field,field_taxon_name,field_taxon_kind,field_taxonomic_classification_name,Classification Type: Sampled As,sampledas_taxon_name,sampled_taxon_kind,sampledas_taxonomic_classification_name,Classification Type: Correlated As,correlatedas_taxon_name,correlatedas_taxon_kind,correlatedas_taxonomic_classification_name
34886,SD,SD009,Bon Homme,42,49,48.61,north,98,4,55.34,west,,,WGS84,,,,,,,,,sampled as,Onita,taxadjunct,"Fine-silty, smectitic, mesic Pachic Argiustoll",,,,
12661,SD,SD081,Lawrence,44,20,52.97,north,103,35,39.7,west,,,WGS84,,,,,,,,,sampled as,Roubaix,series,"Clayey-skeletal, mixed, superactive, frigid Haplic Glossudalf",,,,
34168,ND,ND077,Richland,46,17,24.8,north,96,42,56.5,west,,,WGS84,,,,,,,,,sampled as,Ryan,series,"Fine, smectitic, frigid Typic Natraquert",,,,
34726,ND,ND055,McLean,47,25,0.05,north,100,6,57.67,west,,,WGS84,,,,,,,,,sampled as,Williams,series,"Fine-loamy, mixed, superactive, frigid Typic Argiustoll",,,,
32952,NE,NE155,Saunders,41,10,2.43,north,96,24,42.62,west,,,WGS84,,,,,,,,,,,,,,,,
33163,NE,NE109,Lancaster,40,48,15.32,north,96,44,19.49,west,,,WGS84,,,,,,,,,,,,,,,,
13498,ND,ND007,Billings,46,52,24.46,north,103,13,56.03,west,,,WGS84,,,,,,,,,sampled as,Moreau,series,"Fine, smectitic, frigid Vertic Haplustoll",,,,
32733,SD,SD039,Deuel,44,52,29,north,96,41,32.5,west,,,WGS84,,,,,,,,,sampled as,Barnes,series,"Fine-loamy, mixed, superactive, frigid Calcic Hapludoll",,,,
36745,KS,KS119,Meade,37,2,56.3,north,100,24,27.1,west,,,WGS84,,,,,,,,,sampled as,Dalhart,series,"Fine-loamy, mixed, superactive, mesic Aridic Haplustalf",,,,
33805,SD,SD129,Walworth,45,23,31.15,north,100,1,11.59,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
34881,SD,SD009,Bon Homme,42,49,45.47,north,98,4,55.81,west,,,WGS84,,,,,,,,,sampled as,Onita,series,"Fine, smectitic, mesic Pachic Argiustoll",,,,
32951,NE,NE155,Saunders,41,10,5.32,north,96,24,43.93,west,,,WGS84,,,,,,,,,,,,,,,,
13493,ND,ND007,Billings,46,52,11.57,north,103,13,55.31,west,,,WGS84,,,,,,,,,sampled as,Wayden,series,"Clayey, smectitic, calcareous, frigid, shallow Typic Ustorthent",,,,
34725,ND,ND055,McLean,47,24,59.34,north,100,6,59.12,west,,,WGS84,,,,,,,,,sampled as,Zahl,series,"Fine-loamy, mixed, superactive, frigid Typic Calciustoll",,,,
33554,KS,KS161,Riley,39,6,2.55,north,96,33,44.1,west,,,WGS84,,,,,,,,,sampled as,Konza,taxadjunct,"Fine, smectitic, mesic Pachic Udertic Argiustoll",,,,
33183,NE,NE149,Rock,42,47,28.64,north,99,16,48.27,west,,,WGS84,,,,,,,,,,,,,,,,
32946,NE,NE155,Saunders,41,10,2.45,north,96,24,43.41,west,,,WGS84,,,,,,,,,,,,,,,,
34503,KS,KS087,Jefferson,39,2,43.33,north,95,12,43.2,west,,,WGS84,,,,,,,,,sampled as,Wymore,series,"Fine, smectitic, mesic Aquertic Argiudoll",,,,
32954,NE,NE155,Saunders,41,10,3.88,north,96,24,42.72,west,,,WGS84,,,,,,,,,,,,,,,,
32871,SD,SD119,Sully,44,34,52.28,north,99,53,52.34,west,,,WGS84,,,,,,,,,sampled as,Ree,series,"Fine-loamy, mixed, superactive, mesic Typic Argiustoll",,,,
32979,NE,NE155,Saunders,41,10,3.87,north,96,24,39.5,west,,,WGS84,,,,,,,,,,,,,,,,
33795,SD,SD129,Walworth,45,32,36.26,north,100,3,23.01,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
33626,MN,MN129,Renville,44,50,40,north,95,11,54.9,west,,,WGS84,,,,,,,,,sampled as,Okoboji,series,"Fine, smectitic, mesic Cumulic Vertic Endoaquoll",,,,
33146,NE,NE079,Hall,40,57,11.9,north,98,17,6.46,west,,,WGS84,,,,,,,,,,,,,,,,
32955,NE,NE155,Saunders,41,10,3.87,north,96,24,43.07,west,,,WGS84,,,,,,,,,,,,,,,,
