Paper,DOI,Corresponding soil paper,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Pikul et al. 2001,High N fertilization,NA,NA,NA,NA,NA,NA,High N fertilization,3,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Pikul et al. 2001,Medium N fertilization,NA,NA,NA,NA,NA,NA,Medium N fertilization,4,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Pikul et al. 2001,No fertilization,NA,NA,NA,NA,NA,NA,No fertilization,5,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Boxworth site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Boxworth site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Boxworth site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Drayton site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Drayton site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Drayton site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Rochford site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Rochford site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Rochford site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Bridgets site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Bridgets site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Bridgets site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,High Mowthorpe site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,High Mowthorpe site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,High Mowthorpe site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Terrington site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Terrington site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Turley et al. 2003,Terrington site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Continuous Maize,Conventional tillage,NA,NA,NA,NA,NA,"Continuous Maize, Conventional tillage",1,1
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Continuous Maize,Minimum tillage,NA,NA,NA,NA,NA,"Continuous Maize, Minimum tillage",2,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Continuous Maize,No till,NA,NA,NA,NA,NA,"Continuous Maize, No till",3,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-soybean rotation,Conventional tillage,NA,NA,NA,NA,NA,"Maize-soybean rotation, Conventional tillage",4,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-soybean rotation,Minimum tillage,NA,NA,NA,NA,NA,"Maize-soybean rotation, Minimum tillage",5,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-soybean rotation,No till,NA,NA,NA,NA,NA,"Maize-soybean rotation, No till",6,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-oats-hay rotation,Conventional tillage,NA,NA,NA,NA,NA,"Maize-oats-hay rotation, Conventional tillage",7,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-oats-hay rotation,Minimum tillage,NA,NA,NA,NA,NA,"Maize-oats-hay rotation, Minimum tillage",8,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Maize-oats-hay rotation,No till,NA,NA,NA,NA,NA,"Maize-oats-hay rotation, No till",9,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Conventional tillage,No till,NA,NA,NA,NA,NA,"Conventional tillage, No till",,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,Minimum tillage,No till,NA,NA,NA,NA,NA,"Minimum tillage, No till",,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Van Doren et al. 1977,No till,No till,NA,NA,NA,NA,NA,"No till, No till",,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Ekeberg and Riley 1997,Plough,NA,NA,NA,NA,NA,NA,Plough,1,1
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Ekeberg and Riley 1997,Tine 12 cm,NA,NA,NA,NA,NA,NA,Tine 12 cm,2,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Ekeberg and Riley 1997,Tine 6 cm,NA,NA,NA,NA,NA,NA,Tine 6 cm,3,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Ekeberg and Riley 1997,Minimum,NA,NA,NA,NA,NA,NA,Minimum,4,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Karlen et al. 1998,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Karlen et al. 1998,Chisel plow,NA,NA,NA,NA,NA,NA,Chisel plow,2,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Karlen et al. 1998,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,3,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Karlen et al. 1998,No till,NA,NA,NA,NA,NA,NA,No till,4,
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Huang et al. 2006,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Huang et al. 2006,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,2,
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Huang et al. 2006,Conventional tillage,Rotation of rice and rape,NA,NA,NA,NA,NA,"Conventional tillage, Rotation of rice and rape",,
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Huang et al. 2006,Ridge tillage,Rotation of rice and rape,NA,NA,NA,NA,NA,"Ridge tillage, Rotation of rice and rape",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,0 kg N ha-1,NA,NA,NA,NA,NA,NA,0 kg N ha-1,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,30 kg N ha-1,NA,NA,NA,NA,NA,NA,30 kg N ha-1,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,60 kg N ha-1,NA,NA,NA,NA,NA,NA,60 kg N ha-1,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,90 kg N ha-1,NA,NA,NA,NA,NA,NA,90 kg N ha-1,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,Sorghum stover residue,NA,NA,NA,NA,NA,"Conventional tillage, Sorghum stover residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,Gliricidia loppings residue,NA,NA,NA,NA,NA,"Conventional tillage, Gliricidia loppings residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,No residue,NA,NA,NA,NA,NA,"Conventional tillage, No residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,0 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 0 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,30 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 30 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,60 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 60 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Conventional tillage,90 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 90 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Gliricidia loppings residue,NA,NA,NA,NA,NA,NA,Gliricidia loppings residue,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,NA,NA,NA,NA,NA,NA,Minimum tillage,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,Sorghum stover residue,NA,NA,NA,NA,NA,"Minimum tillage, Sorghum stover residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,Gliricidia loppings residue,NA,NA,NA,NA,NA,"Minimum tillage, Gliricidia loppings residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,No residue,NA,NA,NA,NA,NA,"Minimum tillage, No residue",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,0 kg N ha-1,NA,NA,NA,NA,NA,"Minimum tillage, 0 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,30 kg N ha-1,NA,NA,NA,NA,NA,"Minimum tillage, 30 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,60 kg N ha-1,NA,NA,NA,NA,NA,"Minimum tillage, 60 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Minimum tillage,90 kg N ha-1,NA,NA,NA,NA,NA,"Minimum tillage, 90 kg N ha-1",,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,No residue,NA,NA,NA,NA,NA,NA,No residue,,
Grace et al. 2013,10.1017/S001447971200124X,Sharma et al. 2005,Sorghum stover residue,NA,NA,NA,NA,NA,NA,Sorghum stover residue,,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Gongzhuling site,NPK fertilizer,NA,NA,NA,NA,NA,NPK fertilizer,1,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Qiyang site,NPK fertilizer,NA,NA,NA,NA,NA,NPK fertilizer,1,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Xuzhou site,NPK fertilizer,NA,NA,NA,NA,NA,NPK fertilizer,1,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Yangling site,NPK fertilizer,NA,NA,NA,NA,NA,NPK fertilizer,1,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Zhengzhou site,NPK fertilizer,NA,NA,NA,NA,NA,NPK fertilizer,1,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Gongzhuling site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Qiyang site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Xuzhou site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Yangling site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Zhang et al. 2009,Zhengzhou site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,No till,NA,NA,NA,NA,NA,NA,No till,2,
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,Straw mulching,NA,NA,NA,NA,NA,NA,Straw mulching,3,
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,Plastic mulching,NA,NA,NA,NA,NA,NA,Plastic mulching,4,
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,Ridging and plastic mulching,NA,NA,NA,NA,NA,NA,Ridging and plastic mulching,5,
Tan et al. 2015,10.1038/srep17592,Tan et al. 2015,Interplanting with alfalfa,NA,NA,NA,NA,NA,NA,Interplanting with alfalfa,6,
Karlen et al. 1989,10.1080/00103628909368158,Karlen et al. 1989,Conservation tillage,NA,NA,NA,NA,NA,NA,Conservation tillage,2,
Karlen et al. 1989,10.1080/00103628909368158,Karlen et al. 1989,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Kumar et al. 2014,10.1080/00380768.2013.878643,Kumar et al. 2014,No till,NA,NA,NA,NA,NA,NA,No till,2,
Kumar et al. 2014,10.1080/00380768.2013.878643,Kumar et al. 2014,Chisel-till,NA,NA,NA,NA,NA,NA,Chisel-till,1,1
Kumar et al. 2014,10.1080/00380768.2013.878643,Kumar et al. 2014,Tile-drained,NA,NA,NA,NA,NA,NA,Tile-drained,3,
Kumar et al. 2014,10.1080/00380768.2013.878643,Kumar et al. 2014,Un-drained,NA,NA,NA,NA,NA,NA,Un-drained,4,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,He et al. 2009,No till with straw cover,NA,NA,NA,NA,NA,NA,No till with straw cover,4,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,He et al. 2009,Subsoiling with straw cover,NA,NA,NA,NA,NA,NA,Subsoiling with straw cover,3,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,He et al. 2009,Rototilling with straw cover,NA,NA,NA,NA,NA,NA,Rototilling with straw cover,2,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,He et al. 2009,Traditional plowing,NA,NA,NA,NA,NA,NA,Traditional plowing,1,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Chikato site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,1,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Chikato site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,2,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Chikato site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,3,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Henderson site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,4,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Henderson site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,5,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Henderson site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,6,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Hereford site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,7,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Hereford site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,8,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Thierfelder and Wall 2012,Hereford site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,9,
Mazzoncini et al. 2008,10.2134/agronj2007.0173,Mazzoncini et al. 2008,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,,
Mazzoncini et al. 2008,10.2134/agronj2007.0173,Mazzoncini et al. 2008,No till,NA,NA,NA,NA,NA,NA,No till,,
Endale et al. 2008,10.2134/agronj2007.0401,Jangid et al. 2008,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,,
Endale et al. 2008,10.2134/agronj2007.0401,Jangid et al. 2008,No till,NA,NA,NA,NA,NA,NA,No till,,
Endale et al. 2008,10.2134/agronj2007.0401,Jangid et al. 2008,Conventional fertilizer,NA,NA,NA,NA,NA,NA,Conventional fertilizer,,
Endale et al. 2008,10.2134/agronj2007.0401,Jangid et al. 2008,Poultry litter,NA,NA,NA,NA,NA,NA,Poultry litter,,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Bare ground control,NA,NA,NA,NA,NA,NA,Bare ground control,1,1
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Conventional management system,NA,NA,NA,NA,NA,NA,Conventional management system,2,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Cowpea incorporated,NA,NA,NA,NA,NA,NA,Cowpea incorporated,3,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Cowpea used as mulch,NA,NA,NA,NA,NA,NA,Cowpea used as mulch,4,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Integrated crop management system,NA,NA,NA,NA,NA,NA,Integrated crop management system,5,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Organic system,NA,NA,NA,NA,NA,NA,Organic system,6,
Wang et al. 2008,10.2134/agronj2008.0012,Wang et al. 2008,Sudangrass incorporated,NA,NA,NA,NA,NA,NA,Sudangrass incorporated,7,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Anhydrous ammonia,NA,NA,NA,NA,NA,NA,Anhydrous ammonia,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Beef manure,NA,NA,NA,NA,NA,NA,Beef manure,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Swine lagoon effluent,NA,NA,NA,NA,NA,NA,Swine lagoon effluent,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,0 kg N ha-1,NA,NA,NA,NA,NA,NA,0 kg N ha-1,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,56 kg N ha-1,NA,NA,NA,NA,NA,NA,56 kg N ha-1,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,168 kg N ha-1,NA,NA,NA,NA,NA,NA,168 kg N ha-1,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,504 kg N ha-1,NA,NA,NA,NA,NA,NA,504 kg N ha-1,,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Control interaction,NA,NA,NA,NA,NA,NA,Control interaction,1,1
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Anhydrous ammonia,56 kg N ha-1,NA,NA,NA,NA,NA,"Anhydrous ammonia, 56 kg N ha-1",,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Beef manure,56 kg N ha-1,NA,NA,NA,NA,NA,"Beef manure, 56 kg N ha-1",,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Swine lagoon effluent,56 kg N ha-1,NA,NA,NA,NA,NA,"Swine lagoon effluent, 56 kg N ha-1",,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Anhydrous ammonia,168 kg N ha-1,NA,NA,NA,NA,NA,"Anhydrous ammonia, 168 kg N ha-1",6,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Beef manure,168 kg N ha-1,NA,NA,NA,NA,NA,"Beef manure, 168 kg N ha-1",2,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Swine lagoon effluent,168 kg N ha-1,NA,NA,NA,NA,NA,"Swine lagoon effluent, 168 kg N ha-1",4,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Anhydrous ammonia,504 kg N ha-1,NA,NA,NA,NA,NA,"Anhydrous ammonia, 504 kg N ha-1",7,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Beef manure,504 kg N ha-1,NA,NA,NA,NA,NA,"Beef manure, 504 kg N ha-1",3,
Park et al. 2010,10.2134/agronj2009.0166,Booher et al. 2012,Swine lagoon effluent,504 kg N ha-1,NA,NA,NA,NA,NA,"Swine lagoon effluent, 504 kg N ha-1",5,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,No till,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous Maize, No till, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,No till,Inorganic fertilizer,NA,NA,NA,NA,"Continuous Maize, No till, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,Strip tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous Maize, Strip tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,Strip tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous Maize, Strip tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,Conventional tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous Maize, Conventional tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous Maize,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous Maize, Conventional tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,No till,Poultry litter fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, No till, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,No till,Inorganic fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, No till, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,Strip tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, Strip tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,Strip tillage,Inorganic fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, Strip tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,Conventional tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, Conventional tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Maize-soybean rotation,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Maize-soybean rotation, Conventional tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,No till,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous soybean, No till, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,No till,Inorganic fertilizer,NA,NA,NA,NA,"Continuous soybean, No till, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,Strip tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous soybean, Strip tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,Strip tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous soybean, Strip tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,Conventional tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Continuous soybean, Conventional tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Continuous soybean,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Continuous soybean, Conventional tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,No till,Poultry litter fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, No till, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,No till,Inorganic fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, No till, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,Strip tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, Strip tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,Strip tillage,Inorganic fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, Strip tillage, Inorganic fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,Conventional tillage,Poultry litter fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, Conventional tillage, Poultry litter fertilizer",,
Watts and Torbert 2011,10.2134/agronj2011.0073,Watts et al. 2010,Soybean-Maize rotation,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Soybean-Maize rotation, Conventional tillage, Inorganic fertilizer",,
Cook and Trlica 2016,10.2134/agronj2015.0397,Cook and Trlica 2016,NPK fertilizer,"Moldboard, Chisel, Alternate tillage",NA,NA,NA,NA,NA,"NPK fertilizer, Moldboard, Chisel, Alternate tillage",,
