Paper,DOI,Corresponding soil paper,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Gao et al. 2015,10.1007/s10705-015-9720-7,Gao et al. 2015,Inorganic N and straw combination,NA,NA,NA,NA,NA,NA,Inorganic N and straw combination,6,
Yan and Gong 2010,10.1007/s11104-009-0268-7,Yan and Gong 2010,"Organic fertilizer equivalent to 150 kg N ha-1, PK",NA,NA,NA,NA,NA,NA,"Organic fertilizer equivalent to 150 kg N ha-1, PK",1,
Yan and Gong 2010,10.1007/s11104-009-0268-7,Yan and Gong 2010,"Half organic fertilizer, half NPK fertilizer",NA,NA,NA,NA,NA,NA,"Half organic fertilizer, half NPK fertilizer",2,
Yan and Gong 2010,10.1007/s11104-009-0268-7,Yan and Gong 2010,NPK fertilizer,NA,NA,NA,NA,NA,NA,NPK fertilizer,3,
Yan and Gong 2010,10.1007/s11104-009-0268-7,Yan and Gong 2010,NP fertilizer,NA,NA,NA,NA,NA,NA,NP fertilizer,4,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,No till,Keep all residue,NA,NA,NA,NA,NA,"No till, Keep all residue",,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,No till,Keep all maize residue and 25 cm wheat stubble,NA,NA,NA,NA,NA,"No till, Keep all maize residue and 25 cm wheat stubble",,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,No till,Keep maize stubble until below ear and 25 cm wheat stubble,NA,NA,NA,NA,NA,"No till, Keep maize stubble until below ear and 25 cm wheat stubble",,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,No till,Remove all residue,NA,NA,NA,NA,NA,"No till, Remove all residue",,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,Conventional tillage,Keep all residue,NA,NA,NA,NA,NA,"Conventional tillage, Keep all residue",,
Verhulst et al. 2011,10.1007/s11104-011-0728-8,Fuentes et al. 2012,Conventional tillage,Remove all residue,NA,NA,NA,NA,NA,"Conventional tillage, Remove all residue",,
Giambalvo et al. 2011,10.1007/s11104-012-1224-5,Laudicina et al. 2015,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Giambalvo et al. 2011,10.1007/s11104-012-1224-5,Laudicina et al. 2015,Reduced tillage,NA,NA,NA,NA,NA,NA,Reduced tillage,2,
